cluster_id,representative_key,member_count,members_json,dedup_method,threshold,min_similarity,max_similarity,member_similarities_json,representative_reason
dedup-0017,bangdream_003_school_summer,2,"[""bangdream_003_school_summer"", ""bangdream_003_school_summer-2023""]",embedding_cosine,0.992,0.994896,1.0,"{""bangdream_003_school_summer"": 1.0, ""bangdream_003_school_summer-2023"": 0.994896}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0018,bangdream_004_2019_furisode,2,"[""bangdream_004_2019_furisode"", ""bangdream_004_2025_furisode""]",embedding_cosine,0.992,0.993852,1.0,"{""bangdream_004_2019_furisode"": 1.0, ""bangdream_004_2025_furisode"": 0.993852}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0019,bangdream_004_chapter0_pajamas,2,"[""bangdream_004_chapter0_pajamas"", ""bangdream_004_pajamas-2023""]",embedding_cosine,0.992,0.994375,1.0,"{""bangdream_004_chapter0_pajamas"": 1.0, ""bangdream_004_pajamas-2023"": 0.994375}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0020,bangdream_004_event_216_story_01,3,"[""bangdream_004_event_216_story_01"", ""bangdream_004_school_winter"", ""bangdream_004_school_winter-2023""]",embedding_cosine,0.992,0.992975,1.0,"{""bangdream_004_event_216_story_01"": 1.0, ""bangdream_004_school_winter"": 0.999726, ""bangdream_004_school_winter-2023"": 0.992975}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0021,bangdream_004_event_236_story_01,2,"[""bangdream_004_event_236_story_01"", ""bangdream_004_live_event_236_r""]",embedding_cosine,0.992,0.99903,1.0,"{""bangdream_004_event_236_story_01"": 1.0, ""bangdream_004_live_event_236_r"": 0.99903}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0022,bangdream_004_event_92_story_01,2,"[""bangdream_004_event_92_story_01"", ""bangdream_004_live_event_92_ssr""]",embedding_cosine,0.992,0.999451,1.0,"{""bangdream_004_event_92_story_01"": 1.0, ""bangdream_004_live_event_92_ssr"": 0.999451}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0023,bangdream_004_school_summer,2,"[""bangdream_004_school_summer"", ""bangdream_004_school_summer-2023""]",embedding_cosine,0.992,0.994065,1.0,"{""bangdream_004_school_summer"": 1.0, ""bangdream_004_school_summer-2023"": 0.994065}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0024,bangdream_005_casual_winter,2,"[""bangdream_005_casual_winter"", ""bangdream_005_event_101_story_01""]",embedding_cosine,0.992,0.998895,1.0,"{""bangdream_005_casual_winter"": 1.0, ""bangdream_005_event_101_story_01"": 0.998895}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0025,bangdream_005_chapter0_pajamas,2,"[""bangdream_005_chapter0_pajamas"", ""bangdream_005_pajamas-2023""]",embedding_cosine,0.992,0.99381,1.0,"{""bangdream_005_chapter0_pajamas"": 1.0, ""bangdream_005_pajamas-2023"": 0.99381}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0026,bangdream_005_event_160_story_01,2,"[""bangdream_005_event_160_story_01"", ""bangdream_005_event_50_story_01""]",embedding_cosine,0.992,0.999958,1.0,"{""bangdream_005_event_160_story_01"": 1.0, ""bangdream_005_event_50_story_01"": 0.999958}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0027,bangdream_005_event_216_story_01,4,"[""bangdream_005_event_216_story_01"", ""bangdream_005_school_winter"", ""bangdream_005_school_winter-2023"", ""bangdream_005_school_winter_v3""]",embedding_cosine,0.992,0.995059,1.0,"{""bangdream_005_event_216_story_01"": 1.0, ""bangdream_005_school_winter"": 0.999355, ""bangdream_005_school_winter-2023"": 0.995059, ""bangdream_005_school_winter_v3"": 0.999087}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0028,bangdream_005_event_92_story_01,2,"[""bangdream_005_event_92_story_01"", ""bangdream_005_live_event_92_ssr""]",embedding_cosine,0.992,0.999667,1.0,"{""bangdream_005_event_92_story_01"": 1.0, ""bangdream_005_live_event_92_ssr"": 0.999667}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0029,bangdream_005_school_summer,2,"[""bangdream_005_school_summer"", ""bangdream_005_school_summer-2023""]",embedding_cosine,0.992,0.994135,1.0,"{""bangdream_005_school_summer"": 1.0, ""bangdream_005_school_summer-2023"": 0.994135}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0030,bangdream_006_2019_furisode,2,"[""bangdream_006_2019_furisode"", ""bangdream_006_2024_furisode""]",embedding_cosine,0.992,0.994064,1.0,"{""bangdream_006_2019_furisode"": 1.0, ""bangdream_006_2024_furisode"": 0.994064}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0031,bangdream_006_casual_winter,2,"[""bangdream_006_casual_winter"", ""bangdream_006_event_101_story_01""]",embedding_cosine,0.992,0.997389,1.0,"{""bangdream_006_casual_winter"": 1.0, ""bangdream_006_event_101_story_01"": 0.997389}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0032,bangdream_006_event_122_story_01,2,"[""bangdream_006_event_122_story_01"", ""bangdream_006_swimsuit-2023""]",embedding_cosine,0.992,0.995777,1.0,"{""bangdream_006_event_122_story_01"": 1.0, ""bangdream_006_swimsuit-2023"": 0.995777}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0033,bangdream_006_event_216_story_01,2,"[""bangdream_006_event_216_story_01"", ""bangdream_006_school_winter_s2""]",embedding_cosine,0.992,0.999972,1.0,"{""bangdream_006_event_216_story_01"": 1.0, ""bangdream_006_school_winter_s2"": 0.999972}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0034,bangdream_006_event_227_story_04,2,"[""bangdream_006_event_227_story_04"", ""bangdream_006_live_event_227_ur""]",embedding_cosine,0.992,0.999637,1.0,"{""bangdream_006_event_227_story_04"": 1.0, ""bangdream_006_live_event_227_ur"": 0.999637}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0035,bangdream_006_event_54_story_01,2,"[""bangdream_006_event_54_story_01"", ""bangdream_006_pajamas-2023""]",embedding_cosine,0.992,0.997063,1.0,"{""bangdream_006_event_54_story_01"": 1.0, ""bangdream_006_pajamas-2023"": 0.997063}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0036,bangdream_006_school_summer_s2,2,"[""bangdream_006_school_summer_s2"", ""bangdream_006_school_summer_v3""]",embedding_cosine,0.992,0.999872,1.0,"{""bangdream_006_school_summer_s2"": 1.0, ""bangdream_006_school_summer_v3"": 0.999872}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0037,bangdream_007_2019_furisode,2,"[""bangdream_007_2019_furisode"", ""bangdream_007_2024_furisode""]",embedding_cosine,0.992,0.994229,1.0,"{""bangdream_007_2019_furisode"": 1.0, ""bangdream_007_2024_furisode"": 0.994229}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0038,bangdream_007_casual_winter,3,"[""bangdream_007_casual_winter"", ""bangdream_007_event_65_story_01"", ""bangdream_007_event_94_story_02""]",embedding_cosine,0.992,0.999548,1.0,"{""bangdream_007_casual_winter"": 1.0, ""bangdream_007_event_65_story_01"": 0.999548, ""bangdream_007_event_94_story_02"": 0.999835}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0039,bangdream_007_event_122_story_01,2,"[""bangdream_007_event_122_story_01"", ""bangdream_007_swimsuit-2023""]",embedding_cosine,0.992,0.995184,1.0,"{""bangdream_007_event_122_story_01"": 1.0, ""bangdream_007_swimsuit-2023"": 0.995184}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0040,bangdream_007_event_200_story01,2,"[""bangdream_007_event_200_story01"", ""bangdream_007_live_event_200_ssr""]",embedding_cosine,0.992,0.999081,1.0,"{""bangdream_007_event_200_story01"": 1.0, ""bangdream_007_live_event_200_ssr"": 0.999081}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0041,bangdream_007_event_216_story_01,2,"[""bangdream_007_event_216_story_01"", ""bangdream_007_school_winter_s2""]",embedding_cosine,0.992,0.999708,1.0,"{""bangdream_007_event_216_story_01"": 1.0, ""bangdream_007_school_winter_s2"": 0.999708}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0042,bangdream_007_event_54_story_01,2,"[""bangdream_007_event_54_story_01"", ""bangdream_007_pajamas-2023""]",embedding_cosine,0.992,0.997031,1.0,"{""bangdream_007_event_54_story_01"": 1.0, ""bangdream_007_pajamas-2023"": 0.997031}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0043,bangdream_007_event_94_story_01,2,"[""bangdream_007_event_94_story_01"", ""bangdream_007_store""]",embedding_cosine,0.992,0.999967,1.0,"{""bangdream_007_event_94_story_01"": 1.0, ""bangdream_007_store"": 0.999967}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0044,bangdream_007_school_summer_s2,2,"[""bangdream_007_school_summer_s2"", ""bangdream_007_school_summer_v3""]",embedding_cosine,0.992,0.999391,1.0,"{""bangdream_007_school_summer_s2"": 1.0, ""bangdream_007_school_summer_v3"": 0.999391}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0045,bangdream_008_event_122_story_01,3,"[""bangdream_008_event_122_story_01"", ""bangdream_008_swim_swit"", ""bangdream_008_swimsuit-2023""]",embedding_cosine,0.992,0.993835,1.0,"{""bangdream_008_event_122_story_01"": 1.0, ""bangdream_008_swim_swit"": 0.998364, ""bangdream_008_swimsuit-2023"": 0.993835}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0046,bangdream_008_event_216_story_01,2,"[""bangdream_008_event_216_story_01"", ""bangdream_008_school_winter_s2""]",embedding_cosine,0.992,0.998652,1.0,"{""bangdream_008_event_216_story_01"": 1.0, ""bangdream_008_school_winter_s2"": 0.998652}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0047,bangdream_008_event_236_story_01,2,"[""bangdream_008_event_236_story_01"", ""bangdream_008_live_event_236_ur""]",embedding_cosine,0.992,0.996778,1.0,"{""bangdream_008_event_236_story_01"": 1.0, ""bangdream_008_live_event_236_ur"": 0.996778}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0048,bangdream_008_event_296_story_01,2,"[""bangdream_008_event_296_story_01"", ""bangdream_008_live_event_296_ur""]",embedding_cosine,0.992,0.999664,1.0,"{""bangdream_008_event_296_story_01"": 1.0, ""bangdream_008_live_event_296_ur"": 0.999664}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0049,bangdream_008_school_summer_s2,2,"[""bangdream_008_school_summer_s2"", ""bangdream_008_school_summer_v3""]",embedding_cosine,0.992,0.999911,1.0,"{""bangdream_008_school_summer_s2"": 1.0, ""bangdream_008_school_summer_v3"": 0.999911}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0050,bangdream_009_2019_furisode,2,"[""bangdream_009_2019_furisode"", ""bangdream_009_2025_furisode""]",embedding_cosine,0.992,0.992361,1.0,"{""bangdream_009_2019_furisode"": 1.0, ""bangdream_009_2025_furisode"": 0.992361}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0051,bangdream_009_event_107_story_01,3,"[""bangdream_009_event_107_story_01"", ""bangdream_009_event_216_story_01"", ""bangdream_009_school_winter_s2""]",embedding_cosine,0.992,0.998038,1.0,"{""bangdream_009_event_107_story_01"": 1.0, ""bangdream_009_event_216_story_01"": 0.998038, ""bangdream_009_school_winter_s2"": 0.999464}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0052,bangdream_009_event_200_story01,2,"[""bangdream_009_event_200_story01"", ""bangdream_009_live_event_200_ssr""]",embedding_cosine,0.992,0.997084,1.0,"{""bangdream_009_event_200_story01"": 1.0, ""bangdream_009_live_event_200_ssr"": 0.997084}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0053,bangdream_009_event_236_story_01,2,"[""bangdream_009_event_236_story_01"", ""bangdream_009_live_event_236_sr""]",embedding_cosine,0.992,0.999988,1.0,"{""bangdream_009_event_236_story_01"": 1.0, ""bangdream_009_live_event_236_sr"": 0.999988}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0054,bangdream_009_school_summer_s2,2,"[""bangdream_009_school_summer_s2"", ""bangdream_009_school_summer_v3""]",embedding_cosine,0.992,0.998147,1.0,"{""bangdream_009_school_summer_s2"": 1.0, ""bangdream_009_school_summer_v3"": 0.998147}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0055,bangdream_010_arbeit,2,"[""bangdream_010_arbeit"", ""bangdream_010_arbeit-2023""]",embedding_cosine,0.992,0.996453,1.0,"{""bangdream_010_arbeit"": 1.0, ""bangdream_010_arbeit-2023"": 0.996453}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0056,bangdream_010_event_06_story,2,"[""bangdream_010_event_06_story"", ""bangdream_010_memorial_middle_school""]",embedding_cosine,0.992,0.999737,1.0,"{""bangdream_010_event_06_story"": 1.0, ""bangdream_010_memorial_middle_school"": 0.999737}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0057,bangdream_010_event_122_story_01,2,"[""bangdream_010_event_122_story_01"", ""bangdream_010_swimsuit-2023""]",embedding_cosine,0.992,0.99631,1.0,"{""bangdream_010_event_122_story_01"": 1.0, ""bangdream_010_swimsuit-2023"": 0.99631}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0058,bangdream_010_event_216_story_01,2,"[""bangdream_010_event_216_story_01"", ""bangdream_010_school_winter_s2""]",embedding_cosine,0.992,0.998734,1.0,"{""bangdream_010_event_216_story_01"": 1.0, ""bangdream_010_school_winter_s2"": 0.998734}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0059,bangdream_010_school_summer_s2,2,"[""bangdream_010_school_summer_s2"", ""bangdream_010_school_summer_v3""]",embedding_cosine,0.992,0.999815,1.0,"{""bangdream_010_school_summer_s2"": 1.0, ""bangdream_010_school_summer_v3"": 0.999815}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0060,bangdream_011_2018_furisode,2,"[""bangdream_011_2018_furisode"", ""bangdream_011_2024_furisode""]",embedding_cosine,0.992,0.996276,1.0,"{""bangdream_011_2018_furisode"": 1.0, ""bangdream_011_2024_furisode"": 0.996276}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0061,bangdream_011_casual,2,"[""bangdream_011_casual"", ""bangdream_011_event_141_story_01""]",embedding_cosine,0.992,0.999183,1.0,"{""bangdream_011_casual"": 1.0, ""bangdream_011_event_141_story_01"": 0.999183}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0062,bangdream_011_casual_summer,2,"[""bangdream_011_casual_summer"", ""bangdream_011_event_82_story_02""]",embedding_cosine,0.992,0.999928,1.0,"{""bangdream_011_casual_summer"": 1.0, ""bangdream_011_event_82_story_02"": 0.999928}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0063,bangdream_011_event_216_story_01,3,"[""bangdream_011_event_216_story_01"", ""bangdream_011_school_winter"", ""bangdream_011_school_winter-2023""]",embedding_cosine,0.992,0.99664,1.0,"{""bangdream_011_event_216_story_01"": 1.0, ""bangdream_011_school_winter"": 0.999691, ""bangdream_011_school_winter-2023"": 0.99664}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0064,bangdream_011_event_244_story_01,2,"[""bangdream_011_event_244_story_01"", ""bangdream_011_live_event_244_r""]",embedding_cosine,0.992,0.99989,1.0,"{""bangdream_011_event_244_story_01"": 1.0, ""bangdream_011_live_event_244_r"": 0.99989}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0065,bangdream_011_event_316_story_01,2,"[""bangdream_011_event_316_story_01"", ""bangdream_011_live_event_283_sr""]",embedding_cosine,0.992,0.999357,1.0,"{""bangdream_011_event_316_story_01"": 1.0, ""bangdream_011_live_event_283_sr"": 0.999357}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0066,bangdream_011_event_50_story_01,2,"[""bangdream_011_event_50_story_01"", ""bangdream_011_swimsuit-2023""]",embedding_cosine,0.992,0.996744,1.0,"{""bangdream_011_event_50_story_01"": 1.0, ""bangdream_011_swimsuit-2023"": 0.996744}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0067,bangdream_011_event_67_story_01,2,"[""bangdream_011_event_67_story_01"", ""bangdream_011_pajamas-2023""]",embedding_cosine,0.992,0.998289,1.0,"{""bangdream_011_event_67_story_01"": 1.0, ""bangdream_011_pajamas-2023"": 0.998289}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0068,bangdream_011_school_summer,2,"[""bangdream_011_school_summer"", ""bangdream_011_school_summer-2023""]",embedding_cosine,0.992,0.997155,1.0,"{""bangdream_011_school_summer"": 1.0, ""bangdream_011_school_summer-2023"": 0.997155}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0069,bangdream_012_casual_summer-2023,2,"[""bangdream_012_casual_summer-2023"", ""bangdream_012_event_226_story_01""]",embedding_cosine,0.992,0.999857,1.0,"{""bangdream_012_casual_summer-2023"": 1.0, ""bangdream_012_event_226_story_01"": 0.999857}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0070,bangdream_012_event_206_story_01,2,"[""bangdream_012_event_206_story_01"", ""bangdream_012_live_event_35_ssr""]",embedding_cosine,0.992,0.999626,1.0,"{""bangdream_012_event_206_story_01"": 1.0, ""bangdream_012_live_event_35_ssr"": 0.999626}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0071,bangdream_012_event_216_story_01,2,"[""bangdream_012_event_216_story_01"", ""bangdream_012_live_event_216_ssr""]",embedding_cosine,0.992,0.999893,1.0,"{""bangdream_012_event_216_story_01"": 1.0, ""bangdream_012_live_event_216_ssr"": 0.999893}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0072,bangdream_012_event_244_story_01,2,"[""bangdream_012_event_244_story_01"", ""bangdream_012_live_event_244_ur""]",embedding_cosine,0.992,0.99955,1.0,"{""bangdream_012_event_244_story_01"": 1.0, ""bangdream_012_live_event_244_ur"": 0.99955}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0073,bangdream_012_event_260_story_01,2,"[""bangdream_012_event_260_story_01"", ""bangdream_012_live_event_179_r""]",embedding_cosine,0.992,0.997194,1.0,"{""bangdream_012_event_260_story_01"": 1.0, ""bangdream_012_live_event_179_r"": 0.997194}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0074,bangdream_012_event_304_story_01,2,"[""bangdream_012_event_304_story_01"", ""bangdream_012_event_88_story_01""]",embedding_cosine,0.992,0.992709,1.0,"{""bangdream_012_event_304_story_01"": 1.0, ""bangdream_012_event_88_story_01"": 0.992709}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0075,bangdream_012_event_316_story_01,2,"[""bangdream_012_event_316_story_01"", ""bangdream_012_live_event_316_ur""]",embedding_cosine,0.992,0.999992,1.0,"{""bangdream_012_event_316_story_01"": 1.0, ""bangdream_012_live_event_316_ur"": 0.999992}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0076,bangdream_012_school_summer_s2,2,"[""bangdream_012_school_summer_s2"", ""bangdream_012_school_summer_v3""]",embedding_cosine,0.992,0.999132,1.0,"{""bangdream_012_school_summer_s2"": 1.0, ""bangdream_012_school_summer_v3"": 0.999132}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0077,bangdream_013_casual_summer,2,"[""bangdream_013_casual_summer"", ""bangdream_013_event_153_story_01""]",embedding_cosine,0.992,0.999947,1.0,"{""bangdream_013_casual_summer"": 1.0, ""bangdream_013_event_153_story_01"": 0.999947}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0078,bangdream_013_event_110_story_01,2,"[""bangdream_013_event_110_story_01"", ""bangdream_013_uniform""]",embedding_cosine,0.992,0.998509,1.0,"{""bangdream_013_event_110_story_01"": 1.0, ""bangdream_013_uniform"": 0.998509}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0079,bangdream_013_event_216_story_01,3,"[""bangdream_013_event_216_story_01"", ""bangdream_013_school_winter"", ""bangdream_013_school_winter-2023""]",embedding_cosine,0.992,0.992353,1.0,"{""bangdream_013_event_216_story_01"": 1.0, ""bangdream_013_school_winter"": 0.999241, ""bangdream_013_school_winter-2023"": 0.992353}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0080,bangdream_013_event_244_story_01,2,"[""bangdream_013_event_244_story_01"", ""bangdream_013_live_event_244_ur""]",embedding_cosine,0.992,0.999846,1.0,"{""bangdream_013_event_244_story_01"": 1.0, ""bangdream_013_live_event_244_ur"": 0.999846}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0081,bangdream_013_event_316_story_01,2,"[""bangdream_013_event_316_story_01"", ""bangdream_013_live_event_316_ur""]",embedding_cosine,0.992,0.998765,1.0,"{""bangdream_013_event_316_story_01"": 1.0, ""bangdream_013_live_event_316_ur"": 0.998765}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0082,bangdream_013_event_50_story_01,2,"[""bangdream_013_event_50_story_01"", ""bangdream_013_swimsuit-2023""]",embedding_cosine,0.992,0.993654,1.0,"{""bangdream_013_event_50_story_01"": 1.0, ""bangdream_013_swimsuit-2023"": 0.993654}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0083,bangdream_013_event_67_story_01,2,"[""bangdream_013_event_67_story_01"", ""bangdream_013_pajamas-2023""]",embedding_cosine,0.992,0.993656,1.0,"{""bangdream_013_event_67_story_01"": 1.0, ""bangdream_013_pajamas-2023"": 0.993656}","prefer usable pool candidate, then current_pool, then lexical key"
dedup-0084,bangdream_013_school_summer,2,"[""bangdream_013_school_summer"", ""bangdream_013_school_summer-2023""]",embedding_cosine,0.992,0.993679,1.0,"{""bangdream_013_school_summer"": 1.0, ""bangdream_013_school_summer-2023"": 0.993679}","prefer usable pool candidate, then current_pool, then lexical key"
